Nombre Comuna,codigo
ARICA,01101
CAMARONES,01106
IQUIQUE,01201
PICA,01203
POZO ALMONTE,01204
HUARA,01206
CAMINA,01208
COLCHANE,01210
ALTO HOSPICIO,01211
PUTRE,01301
GENERAL LAGOS,01302
TOCOPILLA,02101
MARIA ELENA,02103
ANTOFAGASTA,02201
TALTAL,02202
MEJILLONES,02203
SIERRA GORDA,02206
CALAMA,02301
OLLAGUE,02302
SAN PEDRO DE ATACAMA,02303
CHANARAL,03101
DIEGO DE ALMAGRO,03102
COPIAPO,03201
CALDERA,03202
TIERRA AMARILLA,03203
VALLENAR,03301
FREIRINA,03302
HUASCO,03303
ALTO DEL CARMEN,03304
LA SERENA,04101
LA HIGUERA,04102
COQUIMBO,04103
ANDACOLLO,04104
VICUNA,04105
PAIHUANO,04106
OVALLE,04201
MONTE PATRIA,04203
PUNITAQUI,04204
COMBARBALA,04205
RIO HURTADO,04206
ILLAPEL,04301
SALAMANCA,04302
LOS VILOS,04303
CANELA,04304
ISLA DE PASCUA,05101
LA LIGUA,05201
PETORCA,05202
CABILDO,05203
ZAPALLAR,05204
PAPUDO,05205
VALPARAISO,05301
VINA DEL MAR,05302
VILLA ALEMANA,05303
QUILPUE,05304
CASABLANCA,05305
QUINTERO,05306
PUCHUNCAVI,05307
JUAN FERNANDEZ,05308
CONCON,05309
SAN ANTONIO,05401
SANTO DOMINGO,05402
CARTAGENA,05403
EL TABO,05404
EL QUISCO,05405
ALGARROBO,05406
QUILLOTA,05501
NOGALES,05502
HIJUELAS,05503
LA CALERA,05504
LA CRUZ,05505
LIMACHE,05506
OLMUE,05507
SAN FELIPE,05601
PANQUEHUE,05602
CATEMU,05603
PUTAENDO,05604
SANTA MARIA,05605
LLAY-LLAY,05606
LOS ANDES,05701
CALLE LARGA,05702
SAN ESTEBAN,05703
RINCONADA,05704
RANCAGUA,06101
MACHALI,06102
GRANEROS,06103
SAN FRANCISCO DE MOSTAZAL,06104
DONIHUE,06105
COLTAUCO,06106
CODEGUA,06107
PEUMO,06108
LAS CABRAS,06109
SAN VICENTE,06110
PICHIDEGUA,06111
RENGO,06112
REQUINOA,06113
OLIVAR,06114
MALLOA,06115
COINCO,06116
QUINTA DE TILCOCO,06117
SAN FERNANDO,06201
CHIMBARONGO,06202
NANCAGUA,06203
PLACILLA,06204
SANTA CRUZ,06205
LOLOL,06206
PALMILLA,06207
PERALILLO,06208
CHEPICA,06209
PUMANQUE,06214
PICHILEMU,06301
NAVIDAD,06302
LITUECHE,06303
LA ESTRELLA,06304
MARCHIGUE,06305
PAREDONES,06306
CURICO,07101
TENO,07102
ROMERAL,07103
RAUCO,07104
LICANTEN,07105
VICHUQUEN,07106
HUALANE,07107
MOLINA,07108
SAGRADA FAMILIA,07109
TALCA,07201
SAN CLEMENTE,07202
PELARCO,07203
RIO CLARO,07204
PENCAHUE,07205
MAULE,07206
CUREPTO,07207
CONSTITUCION,07208
EMPEDRADO,07209
SAN RAFAEL,07210
LINARES,07301
YERBAS BUENAS,07302
COLBUN,07303
LONGAVI,07304
PARRAL,07305
RETIRO,07306
VILLA ALEGRE,07309
SAN JAVIER,07310
CAUQUENES,07401
PELLUHUE,07402
CHANCO,07403
CHILLAN,08101
PINTO,08102
COIHUECO,08103
QUIRIHUE,08104
NINHUE,08105
PORTEZUELO,08106
COBQUECURA,08107
TREHUACO,08108
SAN CARLOS,08109
NIQUEN,08110
SAN FABIAN,08111
SAN NICOLAS,08112
BULNES,08113
SAN IGNACIO,08114
QUILLON,08115
YUNGAY,08116
PEMUCO,08117
EL CARMEN,08118
RANQUIL,08119
COELEMU,08120
CHILLAN VIEJO,08121
CONCEPCION,08201
PENCO,08202
HUALQUI,08203
FLORIDA,08204
TOME,08205
TALCAHUANO,08206
CORONEL,08207
LOTA,08208
SANTA JUANA,08209
SAN PEDRO DE LA PAZ,08210
CHIGUAYANTE,08211
HUALPEN,08212
ARAUCO,08301
CURANILAHUE,08302
LEBU,08303
LOS ALAMOS,08304
CANETE,08305
CONTULMO,08306
TIRUA,08307
LOS ANGELES,08401
SANTA BARBARA,08402
LAJA,08403
QUILLECO,08404
NACIMIENTO,08405
NEGRETE,08406
MULCHEN,08407
QUILACO,08408
YUMBEL,08409
CABRERO,08410
SAN ROSENDO,08411
TUCAPEL,08412
ANTUCO,08413
ALTO BIOBIO,08414
ANGOL,09101
PUREN,09102
LOS SAUCES,09103
RENAICO,09104
COLLIPULLI,09105
ERCILLA,09106
TRAIGUEN,09107
LUMACO,09108
VICTORIA,09109
CURACAUTIN,09110
LONQUIMAY,09111
TEMUCO,09201
VILCUN,09202
FREIRE,09203
CUNCO,09204
LAUTARO,09205
PERQUENCO,09206
GALVARINO,09207
NUEVA IMPERIAL,09208
CARAHUE,09209
SAAVEDRA,09210
PITRUFQUEN,09211
GORBEA,09212
TOLTEN,09213
LONCOCHE,09214
VILLARRICA,09215
PUCON,09216
MELIPEUCO,09217
CURARREHUE,09218
TEODORO SCHMIDT,09219
PADRE LAS CASAS,09220
CHOLCHOL,09221
VALDIVIA,10101
MARIQUINA,10102
LANCO,10103
LOS LAGOS,10104
FUTRONO,10105
CORRAL,10106
MAFIL,10107
PANGUIPULLI,10108
LA UNION,10109
PAILLACO,10110
RIO BUENO,10111
LAGO RANCO,10112
OSORNO,10201
SAN PABLO,10202
PUERTO OCTAY,10203
PUYEHUE,10204
RIO NEGRO,10205
PURRANQUE,10206
SAN JUAN DE LA COSTA,10207
PUERTO MONTT,10301
COCHAMO,10302
PUERTO VARAS,10303
FRESIA,10304
FRUTILLAR,10305
LLANQUIHUE,10306
MAULLIN,10307
LOS MUERMOS,10308
CALBUCO,10309
CASTRO,10401
CHONCHI,10402
QUEILEN,10403
QUELLON,10404
PUQUELDON,10405
ANCUD,10406
QUEMCHI,10407
DALCAHUE,10408
CURACO DE VELEZ,10410
QUINCHAO,10415
CHAITEN,10501
HUALAIHUE,10502
FUTALEUFU,10503
PALENA,10504
AYSEN,11101
CISNES,11102
GUAITECAS,11104
CHILE CHICO,11201
RIO IBANEZ,11203
COCHRANE,11301
OHIGGINS,11302
TORTEL,11303
COYHAIQUE,11401
LAGO VERDE,11402
NATALES,12101
TORRES DEL PAINE,12103
RIO VERDE,12202
SAN GREGORIO,12204
PUNTA ARENAS,12205
LAGUNA BLANCA,12206
PORVENIR,12301
PRIMAVERA,12302
TIMAUKEL,12304
CABO DE HORNOS,12401
SANTIAGO,13101
SANTIAGO OESTE,13134
SANTIAGO SUR,13135
RECOLETA,13159
INDEPENDENCIA,13167
QUINTA NORMAL,14107
MAIPU,14109
PUDAHUEL,14111
RENCA,14113
QUILICURA,14114
CONCHALI,14127
LO PRADO,14155
CERRO NAVIA,14156
ESTACION CENTRAL,14157
HUECHURABA,14158
CERRILLOS,14166
COLINA,14201
LAMPA,14202
TIL-TIL,14203
TALAGANTE,14501
ISLA DE MAIPO,14502
EL MONTE,14503
PENAFLOR,14504
PADRE HURTADO,14505
MELIPILLA,14601
MARIA PINTO,14602
CURACAVI,14603
SAN PEDRO,14604
ALHUE,14605
PROVIDENCIA,15103
NUNOA,15105
LAS CONDES,15108
LA FLORIDA,15128
LA REINA,15132
MACUL,15151
PENALOLEN,15152
VITACURA,15160
LO BARNECHEA,15161
SAN MIGUEL,16106
LA CISTERNA,16110
LA GRANJA,16131
SAN RAMON,16153
LA PINTANA,16154
PEDRO AGUIRRE CERDA,16162
SAN JOAQUIN,16163
LO ESPEJO,16164
EL BOSQUE,16165
PUENTE ALTO,16301
PIRQUE,16302
SAN JOSE DE MAIPO,16303
SAN BERNARDO,16401
CALERA DE TANGO,16402
BUIN,16403
PAINE,16404